Phe,random_id,fnumber,cvid,pearson
DTT,Random_6,1000,cv17,0.585078399297112
DTT,Random_6,1000,cv18,0.594181538407345
DTT,Random_6,1000,cv19,0.545680002665315
DTT,Random_6,1000,cv20,0.592693766286266
DTT,Random_6,1000,cv21,0.557378550973145
DTT,Random_6,1000,cv22,0.614581860542783
DTT,Random_6,1000,cv23,0.579463723732429
DTT,Random_6,1000,cv24,0.504645040584442
DTT,Random_6,1000,cv25,0.58755498699369
DTT,Random_6,1000,cv26,0.587719009156137
DTT,Random_6,1000,cv27,0.54547995678514
DTT,Random_6,1000,cv28,0.560799009295927
DTT,Random_6,1000,cv29,0.599241858385935
DTT,Random_6,2000,cv0,0.571512588285762
DTT,Random_6,2000,cv2,0.568997525741868
DTT,Random_6,2000,cv1,0.560970274910229
DTT,Random_6,2000,cv3,0.62339189683853
DTT,Random_6,2000,cv4,0.564891938692132
DTT,Random_6,2000,cv5,0.556666814964355
DTT,Random_6,2000,cv6,0.531295929919206
DTT,Random_6,2000,cv7,0.627624682494698
DTT,Random_6,2000,cv9,0.527793831462184
DTT,Random_6,2000,cv8,0.570334656897143
DTT,Random_6,2000,cv10,0.559866371139825
DTT,Random_6,2000,cv11,0.53496134776027
DTT,Random_6,2000,cv12,0.64024691444068
DTT,Random_6,2000,cv13,0.608849836961762
DTT,Random_6,2000,cv15,0.544497596850556
DTT,Random_6,2000,cv17,0.572684623778135
DTT,Random_6,2000,cv16,0.622088124803365
DTT,Random_6,2000,cv14,0.637400372281411
DTT,Random_6,2000,cv18,0.602024389065752
DTT,Random_6,2000,cv19,0.58568873847963
DTT,Random_6,2000,cv20,0.610800100150035
DTT,Random_6,2000,cv21,0.562403136224115
DTT,Random_6,2000,cv22,0.650800029169909
DTT,Random_6,2000,cv23,0.580615889491433
DTT,Random_6,2000,cv24,0.535893544666135
DTT,Random_6,2000,cv25,0.572891713538624
DTT,Random_6,2000,cv27,0.541740574136038
DTT,Random_6,2000,cv28,0.578633266728063
DTT,Random_6,2000,cv26,0.570610307384664
DTT,Random_6,2000,cv29,0.616282121639949
DTT,Random_6,3000,cv0,0.615888017882821
DTT,Random_6,3000,cv1,0.609686528912657
DTT,Random_6,3000,cv2,0.562347165773706
DTT,Random_6,3000,cv3,0.626441801793445
DTT,Random_6,3000,cv4,0.58435904380441
DTT,Random_6,3000,cv5,0.556886043717188
DTT,Random_6,3000,cv6,0.559233891937185
DTT,Random_6,3000,cv7,0.629283999023398
DTT,Random_6,3000,cv8,0.605056324976678
DTT,Random_6,3000,cv9,0.578022733396141
DTT,Random_6,3000,cv10,0.559763332289899
DTT,Random_6,3000,cv11,0.573467552005395
DTT,Random_6,3000,cv12,0.643786661087677
DTT,Random_6,3000,cv13,0.64368015306324
DTT,Random_6,3000,cv14,0.664516571557942
DTT,Random_6,3000,cv15,0.544944035514663
DTT,Random_6,3000,cv16,0.658317493604803
DTT,Random_6,3000,cv17,0.570340520952589
DTT,Random_6,3000,cv18,0.615281048131043
DTT,Random_6,3000,cv19,0.582984318272904
DTT,Random_6,3000,cv20,0.621626482788278
DTT,Random_6,3000,cv21,0.575238251697579
DTT,Random_6,3000,cv22,0.642899004654618
DTT,Random_6,3000,cv23,0.600314948749248
DTT,Random_6,3000,cv24,0.54473614221471
DTT,Random_6,3000,cv25,0.590393924866398
DTT,Random_6,3000,cv26,0.590936473513593
DTT,Random_6,3000,cv27,0.58665460639308
DTT,Random_6,3000,cv28,0.605727264685857
DTT,Random_6,3000,cv29,0.60487264055851
DTT,Random_6,4000,cv0,0.613679848240049
DTT,Random_6,4000,cv3,0.645850130741867
DTT,Random_6,4000,cv1,0.588989092261699
DTT,Random_6,4000,cv2,0.567039384785873
DTT,Random_6,4000,cv5,0.583675171896967
DTT,Random_6,4000,cv4,0.582328996491514
DTT,Random_6,4000,cv6,0.564284922125604
DTT,Random_6,4000,cv7,0.631937953965583
DTT,Random_6,4000,cv8,0.60315502671571
DTT,Random_6,4000,cv9,0.580284382125481
DTT,Random_6,4000,cv10,0.565993329927371
DTT,Random_6,4000,cv11,0.580762355024415
DTT,Random_6,4000,cv12,0.648613082967152
DTT,Random_6,4000,cv13,0.634464854357554
DTT,Random_6,4000,cv14,0.654267862496554
DTT,Random_6,4000,cv15,0.558478212312688
DTT,Random_6,4000,cv16,0.656057204334002
DTT,Random_6,4000,cv17,0.563063829103855
DTT,Random_6,4000,cv18,0.611606370318923
DTT,Random_6,4000,cv19,0.589677491441261
DTT,Random_6,4000,cv20,0.629039285047271
DTT,Random_6,4000,cv21,0.578548710662699
DTT,Random_6,4000,cv22,0.653771761333611
DTT,Random_6,4000,cv23,0.612183772903679
DTT,Random_6,4000,cv24,0.545165837712436
DTT,Random_6,4000,cv25,0.618627642667682
DTT,Random_6,4000,cv26,0.598743115287424
DTT,Random_6,4000,cv27,0.603040027168958
DTT,Random_6,4000,cv28,0.595948443382589
DTT,Random_6,4000,cv29,0.610883528868135
DTT,Random_7,12,cv0,0.294441395661249
DTT,Random_7,12,cv2,0.313158068098818
DTT,Random_7,12,cv1,0.210629252682241
DTT,Random_7,12,cv3,0.254237087964417
DTT,Random_7,12,cv4,0.218714023767251
DTT,Random_7,12,cv5,0.289952740637474
DTT,Random_7,12,cv6,0.217631210505684
DTT,Random_7,12,cv7,0.276209129269615
DTT,Random_7,12,cv8,0.261035072336613
DTT,Random_7,12,cv9,0.090259211356436
DTT,Random_7,12,cv10,0.307797724696617
DTT,Random_7,12,cv11,0.159628926637036
DTT,Random_7,12,cv12,0.302470110371676
DTT,Random_7,12,cv13,0.286028175395666
DTT,Random_7,12,cv14,0.281214434842558
DTT,Random_7,12,cv15,0.217231171413258
DTT,Random_7,12,cv16,0.313373849840914
DTT,Random_7,12,cv18,0.247736959623045
DTT,Random_7,12,cv17,0.179536885452546
DTT,Random_7,12,cv19,0.213149724797802
DTT,Random_7,12,cv20,0.236848407246886
DTT,Random_7,12,cv21,0.206193989259128
DTT,Random_7,12,cv22,0.175518123356638
DTT,Random_7,12,cv23,0.25186306756326
DTT,Random_7,12,cv24,0.170059092685121
DTT,Random_7,12,cv25,0.149190757846804
DTT,Random_7,12,cv26,0.221788809158591
DTT,Random_7,12,cv27,0.236340345297861
DTT,Random_7,12,cv28,0.262524545327237
DTT,Random_7,12,cv29,0.245733706057876
DTT,Random_7,24,cv0,0.393129996680747
DTT,Random_7,24,cv3,0.406163416466097
DTT,Random_7,24,cv1,0.403128777784669
DTT,Random_7,24,cv2,0.335928966575086
DTT,Random_7,24,cv4,0.349911862968369
DTT,Random_7,24,cv5,0.397326086686066
DTT,Random_7,24,cv6,0.384618636315775
DTT,Random_7,24,cv7,0.372827399023842
DTT,Random_7,24,cv8,0.382799364782446
DTT,Random_7,24,cv9,0.245034860333969
DTT,Random_7,24,cv10,0.371620441507726
DTT,Random_7,24,cv11,0.274664324685697
DTT,Random_7,24,cv12,0.456947228724729
DTT,Random_7,24,cv13,0.324813131782273
